,Name,Symbol,Date,Watching,Data2018,Rate,Price,Volume,FullyDilluted,CirculatingSupply
3012,VeThor Token,VTHO,2018-07-30T00:00:00.000Z,76322,True,2.094635269663273,,,,
3013,PRiVCY,PRIV,2018-07-31T00:00:00.000Z,1691,True,813.0948002115422,,,,
3014,RightMesh,RMESH,2018-08-01T00:00:00.000Z,773,True,,,,,
3015,Brickblock,BBK,2018-08-01T00:00:00.000Z,651,True,,,,,
3016,NeuroChain,NCC,2018-08-01T00:00:00.000Z,1188,True,0.1271458597917057,,,,
3017,Coinvest,COIN,2018-07-31T00:00:00.000Z,148,True,,,,,
3018,Kalkulus,KLKS,2018-08-01T00:00:00.000Z,1710,True,0.048616987058416425,,,,
3019,Luna Stars,LSTR,2018-07-31T00:00:00.000Z,64,True,,,,,
3020,BHPCoin,BHP,2018-08-03T00:00:00.000Z,2349,True,0.6113354402979682,,,,
3021,InternationalCryptoX,INCX,2018-08-02T00:00:00.000Z,232,True,,,,,
3022,ZMINE,ZMN,2018-08-01T00:00:00.000Z,192,True,0.13733877778882547,,,,
3023,Semux,SEM,2018-08-02T00:00:00.000Z,861,True,0.04526373952444858,,,,
3024,Arionum,ARO,2018-08-01T00:00:00.000Z,1409,True,0.023657974553578997,,,,
3025,ACRE,ACRE,2018-08-02T00:00:00.000Z,64,True,,,,,
3026,IOV BlockChain,IOV,2018-07-31T00:00:00.000Z,5131,True,0.07621909681638864,,,,
3027,Webcoin,WEB,2018-08-02T00:00:00.000Z,723,True,0.08981955429284984,,,,
3028,Formosa Financial,FMF,2018-09-18T00:00:00.000Z,67,True,,,,,
3029,Flux,FLUX,2018-08-02T00:00:00.000Z,8560,True,2.6821672344368754,,,,
3030,BrokerNekoNetwork,BNN,2018-08-02T00:00:00.000Z,95,True,,,,,
3031,Orbis Token,OBT,2018-08-20T00:00:00.000Z,112,True,,,,,
3032,Alchemint,SDT,2018-07-31T00:00:00.000Z,56,True,,,,,
3033,Latino Token,LATINO,2018-08-09T00:00:00.000Z,8,True,,,,,
3039,Excaliburcoin,EXC,2018-08-07T00:00:00.000Z,50,True,,,,,
3040,CanonChain,CZR,2018-07-31T00:00:00.000Z,565,True,0.7398093531067342,,,,
3041,FoodCoin,FOOD,2018-08-14T00:00:00.000Z,104,True,,,,,
3042,IDOL COIN,IDOL,2018-08-01T00:00:00.000Z,26,True,,,,,
3043,PitisCoin,PTS,2018-08-03T00:00:00.000Z,53,True,,,,,
3045,OPCoinX,OPCX,2018-08-03T00:00:00.000Z,57,True,,,,,
3046,Blocknode,BND,2018-08-03T00:00:00.000Z,69,True,,,,,
3047,UltraNote Infinity,XUNI,2018-08-03T00:00:00.000Z,353,True,0.299037152874632,,,,
3048,Bitcoin Turbo Koin,BTK,2018-08-03T00:00:00.000Z,751,True,,,,,
3049,ARLIZE,ARLIZE,2018-08-03T00:00:00.000Z,6,True,,,,,
3050,Dystem,DTEM,2018-08-03T00:00:00.000Z,477,True,0.0008645833700800344,,,,
3051,Bitblocks,BBK,2018-08-03T00:00:00.000Z,2551,True,0.864903806602794,,,,
3052,GoCrypto Token,GOC,2018-08-03T00:00:00.000Z,992,True,3.123498397419584,,,,
3053,YOU COIN,YOU,2018-08-01T00:00:00.000Z,1659,True,1.1198426529610224,,,,
3054,DACSEE,DACS,2018-08-02T00:00:00.000Z,502,True,0.24611883921484928,,,,
3055,EBCoin,EBC,2018-08-03T00:00:00.000Z,861,True,0.13147610440444402,,,,
3056,Thore Cash,TCH,2018-08-06T00:00:00.000Z,1793,True,0.00039145040097285046,,,,
3057,Adrenaline,ADN,2018-08-06T00:00:00.000Z,23,True,,,,,
3058,eSDChain,SDA,2018-08-01T00:00:00.000Z,50,True,,,,,
3059,EscrowCoin,ESCO,2018-08-06T00:00:00.000Z,53,True,,,,,
3060,Yuan Chain Coin,YCC,2018-08-02T00:00:00.000Z,5618,True,1.29479012399246,,,,
3061,Promotion Coin,PC,2018-08-01T00:00:00.000Z,758,True,0.24599401989504363,,,,
3062,GambleCoin,GMCN,2018-08-06T00:00:00.000Z,54,True,,,,,
3063,Vitae,VITAE,2018-08-14T00:00:00.000Z,10175,True,2.5403431614795875,,,,
3064,EPLUS Coin,EPLUS,2018-08-06T00:00:00.000Z,4,True,,,,,
3065,ICE ROCK MINING,ROCK2,2018-08-07T00:00:00.000Z,525,True,0.09893552566474632,,,,
3066,BitCapitalVendor,BCV,2018-08-02T00:00:00.000Z,962,True,0.5080128188940217,,,,
3067,XTRD,XTRD,2018-08-02T00:00:00.000Z,316,True,,,,,
3068,BitcoiNote,BTCN,2018-08-02T00:00:00.000Z,899,True,0.27833792941889496,,,,
3069,NAM COIN,NAM,2018-08-02T00:00:00.000Z,128,True,,,,,
3070,Litex,LXT,2018-08-02T00:00:00.000Z,1044,True,0.3205591536651098,,,,
